"Time","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frames_sent_total_camera","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","group3-node2_cpu_0","group3-node1_cpu_0","group3-node2_cpu_1","group3-node1_cpu_1","group3-node2_cpu_2","group3-node1_cpu_2","group3-node2_cpu_3","group3-node1_cpu_3","group3-node2_cpu_4","group3-node1_cpu_4","group3-node2_cpu_5","group3-node1_cpu_5","group3-node2_cpu_6","group3-node1_cpu_6","group3-node2_cpu_7","group3-node1_cpu_7","group3-node2_available_memory","group3-node1_available_memory","group3-node2_free_memory","group3-node1_free_memory"
1758829980000,undefined,undefined,undefined,69.42812399938703,undefined,undefined,50927,undefined,undefined,50917,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,85.26253700256348,undefined,undefined,undefined,undefined,undefined,undefined,49615,undefined,undefined,undefined,undefined,undefined,22.404172996175475,undefined,undefined,undefined,undefined,undefined,69.42812399938703,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830010000,undefined,undefined,undefined,27.95395599969197,undefined,undefined,51017,undefined,undefined,51007,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,82.75580406188965,undefined,undefined,undefined,undefined,undefined,undefined,49693,undefined,undefined,undefined,undefined,undefined,22.057911999581847,undefined,undefined,undefined,undefined,undefined,27.95395599969197,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830040000,undefined,undefined,undefined,55.858789004560094,undefined,undefined,51107,undefined,undefined,51097,undefined,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,85.2041244506836,undefined,undefined,undefined,undefined,undefined,undefined,49776,undefined,undefined,undefined,undefined,undefined,24.493327997333836,undefined,undefined,undefined,undefined,undefined,55.858789004560094,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830070000,undefined,undefined,undefined,21.97342400177149,undefined,undefined,51197,undefined,undefined,51187,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,85.89887619018555,undefined,undefined,undefined,undefined,undefined,undefined,49860,undefined,undefined,undefined,undefined,undefined,17.403735997504555,undefined,undefined,undefined,undefined,undefined,21.97342400177149,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830100000,undefined,undefined,undefined,47.093273999053054,undefined,undefined,51287,undefined,undefined,51277,undefined,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,82.74221420288086,undefined,undefined,undefined,undefined,undefined,undefined,49947,undefined,undefined,undefined,undefined,undefined,23.22210399870528,undefined,undefined,undefined,undefined,undefined,47.093273999053054,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830130000,undefined,undefined,undefined,82.87100699817529,undefined,undefined,51377,undefined,undefined,51367,undefined,undefined,undefined,undefined,undefined,4,undefined,undefined,undefined,undefined,undefined,76.47538185119629,undefined,undefined,undefined,undefined,undefined,undefined,50036,undefined,undefined,undefined,undefined,undefined,22.77267799945548,undefined,undefined,undefined,undefined,undefined,82.87100699817529,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830160000,undefined,undefined,undefined,52.37348299851874,undefined,undefined,51467,undefined,undefined,51457,undefined,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,80.39641380310059,undefined,undefined,undefined,undefined,undefined,undefined,50127,undefined,undefined,undefined,undefined,undefined,22.176420003233943,undefined,undefined,undefined,undefined,undefined,52.37348299851874,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830190000,undefined,undefined,undefined,28.218535000632983,undefined,undefined,51557,undefined,undefined,51547,undefined,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,83.08553695678711,undefined,undefined,undefined,undefined,undefined,undefined,50212,undefined,undefined,undefined,undefined,undefined,25.37873899564147,undefined,undefined,undefined,undefined,undefined,28.218535000632983,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830220000,undefined,undefined,undefined,64.78462299855892,undefined,undefined,51647,undefined,undefined,51637,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,84.34486389160156,undefined,undefined,undefined,undefined,undefined,undefined,50301,undefined,undefined,undefined,undefined,undefined,20.43685100215953,undefined,undefined,undefined,undefined,undefined,64.78462299855892,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758830250000,undefined,undefined,undefined,116.63130299712066,undefined,undefined,51737,undefined,undefined,51727,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,81.1305046081543,undefined,undefined,undefined,undefined,undefined,undefined,50390,undefined,undefined,undefined,undefined,undefined,21.97017000435153,undefined,undefined,undefined,undefined,undefined,116.63130299712066,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
